Record_ID,Complaint_ID,Date_Received,Received_Year,Product_Name,Product,Issue,Company,State_Name,Portals,Company_Response_to_Consumer,Timely_Response
15,463525,7/22/2013,2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Wells Fargo & Company,CA,Phone,Closed with explanation,Yes
16,463565,7/22/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ocwen,NY,Web,Closed with explanation,Yes
17,463582,7/22/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ocwen,CO,Web,Closed with explanation,Yes
18,463588,7/22/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Bank of America,TX,Phone,Closed with explanation,Yes
19,470650,7/22/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"ECMC Group, Inc.",SC,Web,Closed with explanation,Yes
20,475566,7/22/2013,2013,Credit card,Not Specified,Closing/Cancelling account,Bank of America,DE,Web,Closed with non-monetary relief,Yes
21,454548,7/23/2013,2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,Bank of America,FL,Web,Closed with explanation,Yes
22,454653,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,MI,Fax,Closed with explanation,Yes
23,454654,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,MI,Fax,Closed with explanation,Yes
24,455806,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with explanation,Yes
25,457178,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,GA,Web,Closed with non-monetary relief,Yes
26,458524,7/23/2013,2013,Debt collection,Credit card,Communication tactics,Citibank,NY,Postal mail,Closed with non-monetary relief,Yes
27,461730,7/23/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,"Eisenburg,Whitman and Associates",PA,Web,Closed with explanation,No
28,462132,7/23/2013,2013,Credit card,Not Specified,Other,Discover,CT,Web,Closed with explanation,Yes
29,462160,7/23/2013,2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,UT,Referral,Closed with explanation,Yes
30,462445,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,NY,Web,Closed with non-monetary relief,Yes
31,463240,7/23/2013,2013,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Citibank,AZ,Phone,Closed with explanation,Yes
32,463616,7/23/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Web,Closed with explanation,Yes
33,463635,7/23/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Encore Capital Group,LA,Web,Closed with explanation,Yes
34,463636,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Web,Closed with explanation,Yes
35,463640,7/23/2013,2013,Bank account or service,Other bank product/service,"Account opening, closing, or management","SunTrust Banks, Inc.",GA,Web,Closed with explanation,Yes
36,463641,7/23/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,NJ,Web,Closed with explanation,Yes
37,463655,7/23/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",JPMorgan Chase & Co.,CA,Web,Closed with explanation,Yes
38,463669,7/23/2013,2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",IL,Web,Closed with monetary relief,Yes
39,463670,7/23/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Wells Fargo & Company,WA,Web,Closed with explanation,Yes
40,463682,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,WA,Referral,Closed with explanation,Yes
41,463683,7/23/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Bank of America,IL,Referral,Closed with explanation,Yes
42,463685,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with monetary relief,Yes
43,463687,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,MN,Referral,Closed with explanation,Yes
44,463688,7/23/2013,2013,Credit card,Not Specified,Billing disputes,Bank of America,VA,Referral,Closed with explanation,Yes
45,463689,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,IL,Referral,Closed with explanation,Yes
46,463691,7/23/2013,2013,Mortgage,Other mortgage,Other,JPMorgan Chase & Co.,AL,Referral,Closed with explanation,Yes
47,463693,7/23/2013,2013,Bank account or service,Checking account,Deposits and withdrawals,JPMorgan Chase & Co.,CA,Referral,Closed with explanation,Yes
48,463699,7/23/2013,2013,Debt collection,Credit card,False statements or representation,"Portfolio Recovery Associates, Inc.",CA,Web,Closed with explanation,Yes
49,463702,7/23/2013,2013,Credit card,Not Specified,APR or interest rate,Synchrony Financial,MD,Referral,Closed with explanation,Yes
50,463705,7/23/2013,2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Bank of America,WA,Referral,Closed with explanation,Yes
51,463716,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,TX,Referral,Closed with explanation,Yes
52,463723,7/23/2013,2013,Bank account or service,Other bank product/service,"Account opening, closing, or management",Wells Fargo & Company,VA,Postal mail,Closed with explanation,Yes
53,463742,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,GA,Phone,Closed with explanation,Yes
54,463751,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Ditech Financial LLC,DC,Referral,Closed with explanation,Yes
55,463752,7/23/2013,2013,Credit card,Not Specified,Other,Capital One,NH,Web,Closed with explanation,Yes
56,463768,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker","Citizens Financial Group, Inc.",MA,Web,Closed with explanation,Yes
57,463804,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,FL,Phone,Closed with explanation,Yes
58,463818,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"Focused Recovery Solutions, Inc.",VA,Web,Closed with non-monetary relief,Yes
59,463820,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",FL,Postal mail,Closed with explanation,Yes
60,463829,7/23/2013,2013,Credit card,Not Specified,Late fee,Capital One,AR,Web,Closed with monetary relief,Yes
61,463887,7/23/2013,2013,Bank account or service,Savings account,"Account opening, closing, or management",Santander Bank US,ME,Web,Closed with explanation,Yes
62,463889,7/23/2013,2013,Credit card,Not Specified,Payoff process,U.S. Bancorp,MA,Referral,Closed with explanation,Yes
63,463917,7/23/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Bank of America,FL,Web,Closed with explanation,Yes
64,463979,7/23/2013,2013,Credit card,Not Specified,Billing disputes,Capital One,MA,Web,Closed with explanation,Yes
65,464006,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MI,Web,Closed with explanation,Yes
66,464031,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Regions Financial Corporation,FL,Web,Closed with explanation,Yes
67,464051,7/23/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Bank of America,PA,Phone,Closed with explanation,Yes
68,464059,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,MD,Phone,Closed with explanation,Yes
69,464067,7/23/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,MD,Phone,Closed with explanation,Yes
70,464080,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Real Time Resolutions,CA,Web,Closed with explanation,Yes
71,464096,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Astoria Bank,DC,Referral,Closed with explanation,Yes
72,464108,7/23/2013,2013,Credit reporting,Not Specified,Unable to get credit report/credit score,Equifax,NE,Web,Closed with non-monetary relief,Yes
73,464118,7/23/2013,2013,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",Residential Credit Solutions,NC,Web,Closed with explanation,No
74,464145,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",PNC Bank N.A.,PA,Web,Closed with explanation,Yes
75,464155,7/23/2013,2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Postal mail,Closed with explanation,Yes
76,464164,7/23/2013,2013,Debt collection,I do not know,Communication tactics,"Convergent Resources, Inc.",CA,Phone,Closed,Yes
77,464202,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Ocwen,PA,Web,Closed with explanation,Yes
78,464204,7/23/2013,2013,Bank account or service,Checking account,Deposits and withdrawals,M&T Bank Corporation,DE,Web,Closed,Yes
79,464221,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,NY,Referral,Closed with explanation,Yes
80,464244,7/23/2013,2013,Credit card,Not Specified,Privacy,Bank of America,ID,Web,Closed with explanation,Yes
81,464248,7/23/2013,2013,Bank account or service,Other bank product/service,Problems caused by my funds being low,Navy FCU,OH,Phone,Closed with monetary relief,Yes
82,464257,7/23/2013,2013,Credit card,Not Specified,Identity theft / Fraud / Embezzlement,Discover,CA,Web,Closed with monetary relief,Yes
83,464263,7/23/2013,2013,Credit card,Not Specified,Other,Barclays PLC,OR,Web,Closed with explanation,Yes
84,464275,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,CA,Referral,Closed with explanation,Yes
85,464279,7/23/2013,2013,Credit card,Not Specified,Credit card protection / Debt protection,Capital One,WA,Web,Closed with monetary relief,Yes
86,464292,7/23/2013,2013,Debt collection,Credit card,Communication tactics,Capital One,TX,Phone,Closed with explanation,Yes
87,464367,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,KS,Web,Closed with explanation,Yes
88,464383,7/23/2013,2013,Credit card,Not Specified,Delinquent account,Army and Air Force Exchange Service,NC,Web,Closed with explanation,Yes
89,464385,7/23/2013,2013,Mortgage,FHA mortgage,Settlement process and costs,Quicken Loans,RI,Web,Closed with explanation,Yes
90,464406,7/23/2013,2013,Debt collection,Auto,Disclosure verification of debt,"Retrieval-Masters Creditors Bureau, Inc.",NY,Phone,Closed,Yes
91,464453,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,GA,Web,Closed with non-monetary relief,Yes
92,464468,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,TX,Phone,Closed with explanation,Yes
93,464529,7/23/2013,2013,Debt collection,I do not know,Disclosure verification of debt,"Portfolio Recovery Associates, Inc.",Unknown,Phone,Closed with non-monetary relief,Yes
94,464531,7/23/2013,2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",BBVA Compass,FL,Web,Closed with monetary relief,Yes
95,464578,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",BMO Harris,WI,Phone,Closed with explanation,Yes
96,464608,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","SunTrust Banks, Inc.",FL,Referral,Closed with explanation,Yes
97,464613,7/23/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",PNC Bank N.A.,PA,Web,Closed with monetary relief,Yes
98,464614,7/23/2013,2013,Bank account or service,Checking account,Problems caused by my funds being low,Santander Bank US,NJ,Referral,Closed,Yes
99,464660,7/23/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Bank of America,FL,Referral,Closed with monetary relief,Yes
100,464663,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Selene Finance,CA,Web,Closed with explanation,Yes
101,464698,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,FL,Web,Closed with explanation,Yes
102,464705,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,AZ,Web,Closed with explanation,Yes
103,464825,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",BB&T Financial,FL,Referral,Closed with explanation,Yes
104,464858,7/23/2013,2013,Bank account or service,Checking account,Deposits and withdrawals,JPMorgan Chase & Co.,CA,Referral,Closed with explanation,Yes
105,464874,7/23/2013,2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","Caliber Home Loans, Inc",CA,Referral,Closed with explanation,Yes
106,464938,7/23/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",PNC Bank N.A.,PA,Referral,Closed with explanation,Yes
107,465039,7/23/2013,2013,Bank account or service,Checking account,Problems caused by my funds being low,Santander Bank US,MA,Referral,Closed,Yes
108,472477,7/23/2013,2013,Consumer Loan,Vehicle loan,Shopping for a loan or lease,BMW Financial Services,CA,Web,Closed with explanation,Yes
109,474854,7/23/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",M&T Bank Corporation,NY,Phone,Closed,Yes
110,475076,7/23/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,FL,Referral,Closed with explanation,Yes
111,475145,7/23/2013,2013,Credit card,Not Specified,Other,JPMorgan Chase & Co.,CA,Web,Closed with explanation,Yes
112,475511,7/23/2013,2013,Credit reporting,Not Specified,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",GA,Postal mail,Closed with explanation,Yes
113,475517,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",Bank of America,KY,Web,Closed with explanation,Yes
114,475544,7/23/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,"Southwest Recovery Services, Inc.",TX,Web,Closed with explanation,Yes
115,475665,7/23/2013,2013,Credit reporting,Not Specified,Credit reporting company's investigation,Equifax,KS,Web,Closed with non-monetary relief,Yes
116,475789,7/23/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,VA,Web,Closed with explanation,Yes
117,475950,7/23/2013,2013,Credit reporting,Not Specified,Improper use of my credit report,Experian,FL,Web,Closed with non-monetary relief,Yes
118,475993,7/23/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,"Portfolio Recovery Associates, Inc.",CA,Postal mail,Closed with non-monetary relief,Yes
119,476022,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,MA,Web,Closed with non-monetary relief,Yes
120,479385,7/23/2013,2013,Credit reporting,Not Specified,Credit reporting company's investigation,Equifax,PA,Web,Closed with non-monetary relief,Yes
121,479943,7/23/2013,2013,Credit card,Not Specified,APR or interest rate,Discover,NJ,Web,Closed with explanation,Yes
122,480414,7/23/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",NY,Web,Closed with explanation,Yes
123,480723,7/23/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Capital One,AZ,Web,Closed with explanation,Yes
124,454862,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,CA,Referral,Closed with explanation,Yes
125,454984,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","Bayview Loan Servicing, LLC",FL,Web,Closed with explanation,No
126,454985,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Referral,Closed with explanation,Yes
127,456633,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,CA,Fax,Closed with non-monetary relief,Yes
128,461373,7/24/2013,2013,Credit card,Not Specified,Billing disputes,Citibank,MN,Postal mail,Closed with explanation,Yes
129,461581,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Equifax,GA,Web,Closed with explanation,Yes
130,462649,7/24/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Bank of America,TN,Phone,Closed with explanation,Yes
131,462896,7/24/2013,2013,Consumer Loan,Installment loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,NE,Web,Closed with explanation,Yes
132,463174,7/24/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Bank of America,CA,Web,Closed with monetary relief,Yes
133,463555,7/24/2013,2013,Credit reporting,Not Specified,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",TX,Web,Closed with explanation,Yes
134,463657,7/24/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Wells Fargo & Company,CA,Web,Closed with explanation,Yes
135,464720,7/24/2013,2013,Debt collection,Credit card,False statements or representation,U.S. Bancorp,CA,Web,Closed with explanation,Yes
136,464764,7/24/2013,2013,Credit card,Not Specified,Identity theft / Fraud / Embezzlement,Citibank,CA,Web,Closed with monetary relief,Yes
137,464792,7/24/2013,2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,"Credit Systems International, Inc.",TX,Web,Closed with explanation,Yes
138,464793,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Experian,NY,Web,Closed with explanation,Yes
139,464799,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",CA,Web,Closed with explanation,Yes
140,464800,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Experian,FL,Web,Closed with non-monetary relief,Yes
141,464803,7/24/2013,2013,Bank account or service,Checking account,Problems caused by my funds being low,JPMorgan Chase & Co.,TX,Web,Closed with explanation,Yes
142,464811,7/24/2013,2013,Debt collection,Credit card,Disclosure verification of debt,Synchrony Financial,NE,Web,Closed with monetary relief,Yes
143,464813,7/24/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",Ditech Financial LLC,NC,Web,Closed with explanation,Yes
144,464830,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ocwen,IL,Web,Closed with explanation,Yes
145,464836,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","Select Portfolio Servicing, Inc",CA,Postal mail,Closed with explanation,Yes
146,464854,7/24/2013,2013,Credit card,Not Specified,Billing statement,Capital One,TX,Postal mail,Closed with explanation,Yes
147,464926,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",PNC Bank N.A.,MA,Web,Closed with explanation,Yes
148,464932,7/24/2013,2013,Debt collection,Credit card,Disclosure verification of debt,"Expert Global Solutions, Inc.",MO,Phone,Closed with explanation,Yes
149,464970,7/24/2013,2013,Credit card,Not Specified,Billing disputes,Bank of America,WA,Web,Closed with explanation,Yes
150,464973,7/24/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Wells Fargo & Company,GA,Referral,Closed with explanation,Yes
151,464987,7/24/2013,2013,Credit card,Not Specified,Transaction issue,JPMorgan Chase & Co.,NY,Referral,Closed with non-monetary relief,Yes
152,464992,7/24/2013,2013,Bank account or service,Checking account,Problems caused by my funds being low,TD Bank US Holding Company,PA,Referral,Closed with explanation,Yes
153,464994,7/24/2013,2013,Mortgage,Other mortgage,Settlement process and costs,Bank of America,MO,Web,Closed with explanation,Yes
154,465004,7/24/2013,2013,Credit card,Not Specified,Billing statement,Synchrony Financial,FL,Web,Closed with monetary relief,Yes
155,465017,7/24/2013,2013,Credit card,Not Specified,Privacy,Capital One,NY,Phone,Closed with explanation,Yes
156,465028,7/24/2013,2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",PA,Web,Closed with monetary relief,Yes
157,465030,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,VA,Fax,Closed,Yes
158,465044,7/24/2013,2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,PA,Web,Closed with explanation,Yes
159,465061,7/24/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"Franklin Collection Service, Inc.",AL,Web,Closed with explanation,Yes
160,465071,7/24/2013,2013,Credit card,Not Specified,Billing disputes,HSBC North America Holdings Inc.,NY,Web,Closed with explanation,Yes
161,465093,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",JPMorgan Chase & Co.,TN,Web,Closed with explanation,Yes
162,465102,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with explanation,Yes
163,465121,7/24/2013,2013,Credit card,Not Specified,APR or interest rate,PNC Bank N.A.,PA,Phone,Closed with explanation,Yes
164,465124,7/24/2013,2013,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",Citibank,NY,Web,Closed with monetary relief,Yes
165,465138,7/24/2013,2013,Credit card,Not Specified,Billing disputes,Bank of America,CO,Web,Closed with explanation,Yes
166,465156,7/24/2013,2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",NJ,Web,Closed with explanation,Yes
167,465189,7/24/2013,2013,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,"Citizens Financial Group, Inc.",PA,Referral,Closed with explanation,Yes
168,465192,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,CA,Referral,Closed with explanation,Yes
169,465195,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,KY,Referral,Closed with explanation,Yes
170,465198,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Referral,Closed with explanation,Yes
171,465199,7/24/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",Regions Financial Corporation,TN,Referral,Closed,Yes
172,465205,7/24/2013,2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Referral,Closed with explanation,Yes
173,465206,7/24/2013,2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,PA,Referral,Closed with explanation,Yes
174,465207,7/24/2013,2013,Money transfers,Domestic (US) money transfer,Money was not available when promised,Wells Fargo & Company,MD,Referral,Closed with explanation,Yes
175,465212,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",HSBC North America Holdings Inc.,NH,Referral,Closed with explanation,Yes
176,465218,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Ocwen,CA,Referral,Closed with explanation,Yes
177,465224,7/24/2013,2013,Bank account or service,Checking account,"Account opening, closing, or management",JPMorgan Chase & Co.,CA,Referral,Closed with explanation,Yes
178,465248,7/24/2013,2013,Credit card,Not Specified,Billing disputes,Amex,CA,Referral,Closed with monetary relief,Yes
179,465281,7/24/2013,2013,Credit reporting,Not Specified,Incorrect information on credit report,Synchrony Financial,CA,Web,Closed with non-monetary relief,Yes
180,465296,7/24/2013,2013,Credit reporting,Not Specified,Unable to get credit report/credit score,Equifax,PR,Web,Closed with non-monetary relief,Yes
181,465305,7/24/2013,2013,Bank account or service,Savings account,"Account opening, closing, or management",Bank of America,AZ,Phone,Closed with explanation,Yes
182,465316,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,FL,Referral,Closed with explanation,Yes
183,465325,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,IL,Phone,Closed with explanation,Yes
184,465326,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Specialized Loan Servicing LLC,IL,Phone,Closed,Yes
185,465331,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,IL,Web,Closed with explanation,Yes
186,465343,7/24/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"Retrieval-Masters Creditors Bureau, Inc.",OH,Phone,Closed with explanation,Yes
187,465370,7/24/2013,2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Stellar Recovery Inc.,FL,Postal mail,Closed with explanation,Yes
188,465449,7/24/2013,2013,Debt collection,I do not know,Communication tactics,Stellar Recovery Inc.,FL,Web,Closed with explanation,Yes
189,465469,7/24/2013,2013,Debt collection,Credit card,Cont'd attempts collect debt not owed,HSBC North America Holdings Inc.,PA,Web,Closed with explanation,Yes
190,465502,7/24/2013,2013,Debt collection,I do not know,Communication tactics,"Vital Solutions, Inc.",KY,Phone,Closed with non-monetary relief,Yes
191,465506,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,GA,Referral,Closed with explanation,Yes
192,465510,7/24/2013,2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ditech Financial LLC,IL,Web,Closed with explanation,Yes
193,465513,7/24/2013,2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Referral,Closed with explanation,Yes
194,465515,7/24/2013,2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Citibank,PA,Web,Closed with explanation,Yes
